Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,32.2222,36.6667,0.243673,0.220766
1,28.8889,36.6667,0.230837,0.220321
2,30,36.6667,0.230264,0.219858
3,30,36.6667,0.229671,0.219373
4,30,36.6667,0.229052,0.218858
5,31.1111,36.6667,0.228399,0.218308
6,33.3333,36.6667,0.227705,0.217713
7,33.3333,36.6667,0.226959,0.217065
8,35.5556,36.6667,0.226152,0.216354
9,35.5556,36.6667,0.225271,0.215567
10,38.8889,36.6667,0.224301,0.214691
11,38.8889,40,0.223226,0.213708
12,41.1111,46.6667,0.222025,0.212599
13,42.2222,53.3333,0.220675,0.21134
14,43.3333,53.3333,0.219146,0.209902
15,45.5556,56.6667,0.217404,0.20825
16,47.7778,63.3333,0.215408,0.206345
17,48.8889,63.3333,0.213107,0.204137
18,51.1111,63.3333,0.210445,0.201571
19,52.2222,63.3333,0.207354,0.19858
20,54.4444,63.3333,0.203757,0.195094
21,57.7778,66.6667,0.199575,0.191038
22,58.8889,66.6667,0.194729,0.186345
23,63.3333,66.6667,0.189158,0.180974
24,63.3333,66.6667,0.182844,0.174936
25,64.4444,66.6667,0.17584,0.168325
26,65.5556,66.6667,0.168301,0.161338
27,64.4444,66.6667,0.160487,0.15426
28,65.5556,66.6667,0.152732,0.147417
29,66.6667,70,0.145369,0.141095
30,66.6667,70,0.138654,0.135478
31,67.7778,73.3333,0.132723,0.13063
32,67.7778,70,0.1276,0.12652
33,67.7778,73.3333,0.123227,0.123064
34,67.7778,73.3333,0.119508,0.120159
35,68.8889,73.3333,0.116335,0.117707
36,68.8889,73.3333,0.113611,0.115619
37,68.8889,76.6667,0.111249,0.113823
38,67.7778,76.6667,0.109177,0.112261
39,67.7778,76.6667,0.107338,0.110886
40,67.7778,76.6667,0.105686,0.109661
41,67.7778,76.6667,0.104184,0.108556
42,67.7778,76.6667,0.102804,0.107548
43,68.8889,76.6667,0.101523,0.106618
44,70,76.6667,0.100321,0.105752
45,70,73.3333,0.0991859,0.104936
46,70,73.3333,0.0981039,0.104162
47,70,73.3333,0.0970657,0.10342
48,70,73.3333,0.0960628,0.102704
49,71.1111,73.3333,0.0950884,0.102006
50,71.1111,73.3333,0.0941362,0.101323
51,71.1111,73.3333,0.0932009,0.100649
52,71.1111,73.3333,0.0922775,0.0999788
53,71.1111,73.3333,0.0913617,0.0993098
54,71.1111,73.3333,0.0904494,0.0986381
55,71.1111,73.3333,0.0895367,0.0979606
56,71.1111,70,0.0886199,0.0972743
57,72.2222,70,0.0876955,0.0965767
58,72.2222,73.3333,0.0867602,0.0958655
59,71.1111,73.3333,0.0858107,0.0951385
60,71.1111,73.3333,0.0848437,0.0943939
61,71.1111,73.3333,0.0838561,0.0936302
62,71.1111,73.3333,0.0828449,0.0928461
63,71.1111,73.3333,0.0818073,0.0920406
64,71.1111,76.6667,0.0807404,0.0912131
65,71.1111,76.6667,0.0796419,0.0903634
66,71.1111,76.6667,0.0785093,0.0894915
67,71.1111,76.6667,0.0773408,0.0885981
68,71.1111,76.6667,0.0761349,0.087684
69,71.1111,76.6667,0.0748904,0.0867507
70,71.1111,76.6667,0.0736069,0.0858001
71,71.1111,76.6667,0.0722844,0.0848344
72,72.2222,76.6667,0.0709239,0.0838563
73,72.2222,76.6667,0.0695267,0.0828686
74,73.3333,76.6667,0.0680955,0.0818747
75,72.2222,76.6667,0.0666332,0.0808777
76,72.2222,76.6667,0.065144,0.0798812
77,73.3333,76.6667,0.0636328,0.0788886
78,73.3333,76.6667,0.062105,0.0779033
79,73.3333,76.6667,0.0605668,0.0769284
80,73.3333,76.6667,0.0590249,0.075967
81,73.3333,76.6667,0.0574862,0.0750218
82,73.3333,76.6667,0.0559579,0.0740952
83,73.3333,76.6667,0.0544468,0.0731895
84,73.3333,76.6667,0.0529599,0.0723065
85,73.3333,76.6667,0.0515032,0.0714478
86,73.3333,76.6667,0.0500826,0.0706147
87,73.3333,76.6667,0.0487029,0.0698084
88,73.3333,76.6667,0.0473685,0.0690297
89,73.3333,76.6667,0.0460826,0.068279
90,73.3333,76.6667,0.0448479,0.0675569
91,73.3333,76.6667,0.043666,0.0668634
